name,number,Name,AttendDate,Hours Attended
Thor Odinson,WEB 1000,Programming Fundamentals,1/8/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,1/9/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,1/10/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,1/11/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,1/12/24,0.00
Thor Odinson,WEB 1000,Programming Fundamentals,1/16/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,1/17/24,3.00
Thor Odinson,WEB 1000,Programming Fundamentals,1/18/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,1/19/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,1/22/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,1/23/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,1/24/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,1/25/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,1/26/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,1/29/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,1/30/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,1/31/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,2/1/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,2/2/24,3.00
Thor Odinson,WEB 1000,Programming Fundamentals,2/5/24,0.00
Thor Odinson,WEB 1000,Programming Fundamentals,2/6/24,0.00
Thor Odinson,WEB 1000,Programming Fundamentals,2/7/24,0.00
Thor Odinson,WEB 1000,Programming Fundamentals,2/8/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,2/9/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,2/12/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,2/13/24,3.00
Thor Odinson,WEB 1000,Programming Fundamentals,2/14/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,2/15/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,2/16/24,4.00
Thor Odinson,WEB 1000,Programming Fundamentals,2/20/24,4.00
Thor Odinson,WEB 1010,Backend Programming,2/21/24,4.00
Thor Odinson,WEB 1010,Backend Programming,2/22/24,3.00
Thor Odinson,WEB 1010,Backend Programming,2/23/24,0.00
Thor Odinson,WEB 1010,Backend Programming,2/26/24,4.00
Thor Odinson,WEB 1010,Backend Programming,2/27/24,0.00
Thor Odinson,WEB 1010,Backend Programming,2/28/24,4.00
Thor Odinson,WEB 1010,Backend Programming,2/29/24,4.00
Thor Odinson,WEB 1010,Backend Programming,3/1/24,4.00
Thor Odinson,WEB 1010,Backend Programming,3/4/24,4.00
Thor Odinson,WEB 1010,Backend Programming,3/5/24,3.00
Thor Odinson,WEB 1010,Backend Programming,3/6/24,4.00
Thor Odinson,WEB 1010,Backend Programming,3/7/24,4.00
Thor Odinson,WEB 1010,Backend Programming,3/8/24,4.00
Thor Odinson,WEB 1010,Backend Programming,3/18/24,0.00
Thor Odinson,WEB 1010,Backend Programming,3/19/24,4.00
Thor Odinson,WEB 1010,Backend Programming,3/20/24,0.00
Thor Odinson,WEB 1010,Backend Programming,3/21/24,0.00
Thor Odinson,WEB 1010,Backend Programming,3/22/24,0.00
Thor Odinson,WEB 1010,Backend Programming,3/25/24,4.00
Thor Odinson,WEB 1010,Backend Programming,3/26/24,4.00
Thor Odinson,WEB 1010,Backend Programming,3/27/24,4.00
Thor Odinson,WEB 1010,Backend Programming,3/28/24,4.00
Thor Odinson,WEB 1010,Backend Programming,4/2/24,4.00
Thor Odinson,WEB 1010,Backend Programming,4/3/24,4.00
Thor Odinson,WEB 1010,Backend Programming,4/4/24,4.00
Thor Odinson,WEB 1010,Backend Programming,4/5/24,4.00
Thor Odinson,WEB 1010,Backend Programming,4/8/24,4.00
Thor Odinson,WEB 1010,Backend Programming,4/9/24,0.00
Thor Odinson,WEB 1010,Backend Programming,4/10/24,4.00
Thor Odinson,WEB 1010,Backend Programming,4/11/24,4.00
Thor Odinson,WEB 1020,Introduction to Web Design,4/12/24,4.00
Thor Odinson,WEB 1020,Introduction to Web Design,4/15/24,4.00
Thor Odinson,WEB 1020,Introduction to Web Design,4/16/24,4.00
Thor Odinson,WEB 1020,Introduction to Web Design,4/17/24,4.00
Thor Odinson,WEB 1020,Introduction to Web Design,4/18/24,4.00
Thor Odinson,WEB 1020,Introduction to Web Design,4/19/24,4.00
Thor Odinson,WEB 1020,Introduction to Web Design,4/22/24,4.00
Thor Odinson,WEB 1020,Introduction to Web Design,4/23/24,2.00
